assieds toi !	sit down !
vous etes imprudents .	you re foolish .
faites entrer tom .	let tom in .
tom ne cuisine jamais .	tom never cooks .
j adore cette chanson .	i love that song .
tom a parle .	tom spoke .
le sort en est jete .	the die is cast .
vous etes un puritain .	you re a prude .
elle ne convient pas .	it doesn t fit .
tiens ta langue !	bite your tongue .
faites moi plaisir .	do me a favor .
je ne suis pas amere .	i m not bitter .
c etait un mensonge .	it was a lie .
quel pays !	what a country !
c est yen .	it s yen .
incroyable !	unbelievable !
tom est confus .	tom s confused .
vous etes endormie .	you re sleepy .
arrete de hurler !	stop screaming .
je me sentis trompee .	i felt cheated .
il s est mis a courir .	he began running .
je n etais pas saoul .	i wasn t drunk .
j ai pu voir ca .	i could see that .
il est si mignon !	he s so cute .
montre la lui !	show it to her .
je suis plein de ressources .	i m resourceful .
accrochez vous bien !	hang on tight !
mon corps me fait mal .	i ache all over .
etes vous sur ?	are you sure ?
il avait tout faux .	he was all wrong .
qui est a tes trousses ?	who s after you ?
c est transparent .	it s transparent .
bouclez la !	keep quiet !
c est l une des miennes .	it s one of mine .
j ai reussi .	i succeeded .
ecris a l encre .	write in ink .
je ne suis pas riche .	i m not rich .
tom est defonce .	tom s stoned .
faites vite !	make it quick .
j ai trouve ceux ci .	i found these .
ils devinrent fous .	they went crazy .
es tu reveille ?	are you awake ?
ceci est un poisson .	this is a fish .
tu es licencie .	you re fired .
monte .	hop in .
je ne suis pas folle .	i m not crazy .
j ai eu un mal de tete .	i had a headache .
j etais trop petit .	i was too small .
je suis grande .	i m tall .
je suis prive de sortie .	i m grounded .
je me suis porte volontaire .	i volunteered .
offrez moi un verre !	buy me a drink .
marie est charmante .	mary is lovely .
j ai un chien .	i have a dog .
tu plaisantes ?	are you kidding ?
laisse tomber .	come off it .
tom etait impressionnant .	tom was awesome .
restez tranquille !	keep quiet !
j ai la fievre .	i have a fever .
il est adorable .	he s adorable .
il s agit d une tour .	that s a tower .
bouge de la .	move over .
crois moi s il te plait .	please trust me .
je suppose que non .	i guess not .
je vous vis .	i saw you .
qui vend ceci ?	who sells this ?
je le promets .	i promise .
le pensez vous ?	do you think so ?
tu avais besoin de moi .	you needed me .
prends un verre !	have a drink .
j ai quitte tom .	i left tom .
vous etes incroyable .	you re amazing .
ne vous inquietez pas .	don t worry .
nous nous sommes rencontres plus tot .	we met earlier .
elle l epousa .	she married him .
ils essayent .	they re trying .
c est courant ?	is this common ?
arretez de rever .	stop dreaming .
il pleuvait .	it was raining .
est ce que c est arrive ?	has it arrived ?
laisse faire .	let it be .
ca finira mal .	it ll end badly .
c etait efficace .	it was effective .
ce n est pas suffisant .	it s not enough .
mange tes petits pois .	eat your peas .
nous l aimons tous .	we all like him .
tom t a envoye ?	did tom send you ?
nous ne sommes pas vieux .	we re not old .
attendez un peu !	hold on a minute .
ne reviens pas .	don t come again .
je t ai motivee .	i motivated you .
c est vraiment mauvais .	it s really bad .
contente toi de faire ton boulot !	just do your job .
va doucement !	go slow .
puis je aller chez moi ?	may i go home ?
je ne peux pas le sentir .	i can t feel it .
redites ca !	say that again .
il m a laisse m en aller .	he let me go .
je suis remuee .	i m shaken .
commencez a ecrire .	start writing .
je deteste le cafe .	i hate coffee .
ca m amuse .	i m amused .
je suis a la maison .	i m at home .
va prendre un bain !	take a bath .
j ai ressenti de la tristesse .	i felt sad .
il deteste les carottes .	he hates carrots .
l amour blesse .	love hurts .
allons de l avant .	let s keep going .
du calme .	loosen up .
j ai ete humilie .	i was humiliated .
je ne trouve pas les mots .	i m speechless .
nous sommes surpris .	we re surprised .
il avait l air en bonne sante .	he looked well .
nous vous avons vus .	we saw you .
il ne s agit que d argent .	it s just money .
sois juste prudent .	just be careful .
nous sommes ici .	we re here .
c est amusant .	this is fun .
peux tu te renseigner ?	can you find out ?
je ne suis pas idiot .	i m not an idiot .
tom devenait nerveux .	tom got nervous .
elle est bresilienne .	she s brazilian .
prenez une bouchee !	take a bite .
je vous aime tous les deux .	i love you both .
allez chercher votre tenue !	get your gear .
soyez respectueuse !	be respectful .
ecoutez s il vous plait .	please listen .
c est a qui ?	whose is it ?
c est trop facile .	that s too easy .
j ai deux fils .	i have two sons .
les hommes sont des cochons .	men are pigs .
il fait trop chaud .	it is too hot .
ne fais pas la tete .	don t be mad .
j etais troisieme .	i was third .
tom a l air mort .	tom looks dead .
le penses tu ?	do you think so ?
ce sont des espionnes .	they re spies .
tout le monde l a remarque .	everyone noticed .
elles se sont ecrasees .	they crashed .
thomas plaisante ?	is tom kidding ?
je suis occupee .	i m busy .
l avez vous fait ?	did you do it ?
est ce la votre ?	is it yours ?
faites attention !	take care !
je me rends .	i surrender .
viens si tu peux !	come if you can .
tom etait particulier .	tom was special .
je ne reste pas .	i m not staying .
je suis confuse .	i m confused .
apportez le ici .	bring it here .
je suis dote d yeux .	i ve got eyes .
j ai le mal du pays .	i am homesick .
attends jusqu a six heures .	wait till six .
j ai ete frappe .	somebody hit me .
ne le fais pas !	don t do it .
prenez ca s il vous plait .	take it please .
tom est plein de charme .	tom is charming .
j ai dit merci .	i said thanks .
j ai ete prise de vertiges .	i got dizzy .
j ai fait rire tom .	i made tom laugh .
j en ai marre de vous .	i m sick of you .
je suis tout a toi .	i m all yours .
habillez vous en hate !	dress quickly .
reste un moment !	stay a while .
je peux m asseoir ici ?	may i sit here ?
j ai gagne .	i ve won .
peux tu le rencontrer ?	can you meet him ?
nous regardons .	we re watching .
ils sont tous mauvais .	they re all bad .
va voir tom .	go see tom .
je prendrai le tout .	i ll take it all .
nous sommes les dernieres .	we re the last .
ne parlez pas !	don t talk !
sortez d ici !	get out of here .
je deteste les proselytes .	i hate zealots .
je suis sujette a des allergies .	i have allergies .
je veux des enfants .	i want children .
quelle heure est il ?	what time is it ?
tu devrais manger .	you should eat .
c est magnifique !	it s wonderful !
vous etes en avance .	you are early .
il fait nuit noire .	it is pitch dark .
arrete de faire la tete .	stop scowling .
encore une fois merci .	thanks again .
ou sont les toilettes ?	where s the loo ?
on m a prevenu .	i was warned .
je survis .	i m surviving .
ca avait l air drole .	it looked funny .
ils ont tous les deux souri .	the two smiled .
tom vient d arriver .	tom just came .
je suis en train de cooperer .	i m cooperating .
je me suis tres bien senti .	i felt great .
sais tu patiner ?	can you skate ?
quiconque sait il conduire ?	can anyone drive ?
merci bien .	many thanks .
je l ai vu .	i did see him .
il est intelligent .	he s intelligent .
fais juste comme je dis !	just do as i say .
s agit il d une menace ?	is that a threat ?
j ai ete horrifie .	i was horrified .
verrouille le coffre fort .	lock the safe .
je l ai confectionne par moi meme .	i made it myself .
tom s est tu .	tom shut up .
il aime chasser .	he likes to hunt .
il nous laissa nous en aller .	he let us go .
arretez de courir .	stop running .
j ai eu une idee .	i had an idea .
je suis convaincu .	i m convinced .
ecris moi !	write me .
j ai la chair de poule .	i got goosebumps .
ne venez pas ici !	don t come here .
nous arretons tous .	we all quit .
tom est inquiet .	tom s concerned .
vraiment ?	you don t say .
c est toi ?	is it you ?
j adore les enfants .	i love children .
nous sommes medecins .	we re doctors .
il sait bien lire .	he can read well .
j ai ete verbalise .	i got fined .
tom est il en securite ?	is tom safe ?
je l ai concue .	i designed it .
c est illegal .	that s illegal .
c est un bon gars .	he s a good lad .
nous sommes en couple .	we re a couple .
je ne fais que regarder .	i m just looking .
tom se souvenait .	tom remembered .
tom fait ses bagages .	tom is packing .
pouvez vous voir tom ?	can you see tom ?
c est le sien .	it s his .
barre toi .	get away !
je suis pret .	i am ready .
demandez de l aide .	call for help .
allons y !	let s get going .
rentre vite a la maison .	go home quickly .
elle est francaise .	she is french .
j ai envie de chanter .	i want to sing .
j adore les films .	i love movies .
je te remercie .	thanks .
je suis ruinee .	i m ruined .
tom est petit .	tom is small .
arretez de fredonner .	stop humming .
prenez tout .	take everything .
vous pigez ?	do you get it ?
je l ai confisquee .	i confiscated it .
continue d avancer .	keep moving .
j ai vu un ami .	i saw a friend .
fichez le camp .	get lost .
il me faut formuler une objection .	i must object .
est ce que je t ennuie ?	am i boring you ?
je ne gagne jamais .	i never win .
tom le voyait .	tom saw it .
tom est serieux .	tom means it .
je suis une fille .	i m a girl .
viens seul !	come alone .
nous fumes battues .	we lost .
c est du plastique .	that s plastic .
il est tres timide .	he s very timid .
j ai paye l addition .	i paid the check .
soyez raisonnables !	be reasonable .
ils avaient un bateau .	they had a boat .
viens ici .	come here .
nous l avons vu .	we ve seen it .
prenez en un je vous prie .	please take one .
personne ne s en souvient .	nobody remembers .
je vais regarder la tele .	i ll watch tv .
je deteste repasser .	i hate to iron .
tom a encore essaye .	tom tried again .
j entends rire .	i hear laughing .
je n aurai pas besoin de vous .	i won t need you .
ils dirent non .	they said no .
il en veut davantage .	he wants more .
je suis une artiste .	i m an artist .
j ai eu une vision .	i had a vision .
je veux un medecin .	i want a doctor .
je pourrais vous embrasser .	i could kiss you .
tom est mort a soixante cinq ans .	tom died at .
j ai une grenade .	i have a grenade .
ce sont les miennes .	they re mine .
vous etes l elu .	you are the one .
je n etais pas occupee .	i wasn t busy .
sois respectueux !	be respectful .
je le sais moi meme .	i know it myself .
donnez moi la cle .	give me the key .
elle le venere .	she adores him .
j ai essaye .	i tried .
je n etais pas la .	i was away .
je suis barbier .	i m a barber .
je ne vous ai jamais vus .	i never saw you .
laissez le moi .	leave this to me .
sois poli s il te plait .	please be polite .
prends le commandement .	take command .
le moteur s est arrete .	the engine died .
ca pue .	this is bad .
relaxe !	lighten up .
c est toi qui l est !	you re it !
sont ils violets ?	are they purple ?
es tu maniaque ?	are you a maniac ?
nous avons besoin d une voiture .	we need a car .
allez chez vous maintenant .	go home now .
laissez moi voir .	let me see .
tom est il tombe ?	did tom fall ?
scellez la porte !	seal the doors .
je prefere lire .	i prefer to read .
il est peu sur de lui .	he s insecure .
allez dis moi !	come on tell me .
je m en chargerai .	i ll see to it .
je ne savais pas .	i didn t know .
je suis en colere .	i m angry .
prenez la mienne .	take mine .
ecoutez !	listen .
il me faut du temps .	i need time .
couvre toi les yeux .	cover your eyes .
vous etes impartial .	you re unbiased .
viens ici immediatement .	come at once .
je suis dur a cuire .	i m tough .
j aimerais une augmentation .	i d like a raise .
tom decidera .	tom will decide .
tom est maladroit .	tom is tactless .
tu es l elu .	you are the one .
j ai ete elu .	i was elected .
qui l a construit ?	who built it ?
mon fils a besoin de moi .	my son needs me .
ce sont les miennes .	these are mine .
qu y avait il ?	what was it ?
tom avait besoin de vous .	tom needed you .
continuez .	go on .
je dois attendre .	i have to wait .
tout le monde est la .	everyone s there .
je n en veux pas .	i don t want it .
va aider tom .	go help tom .
beaucoup de poissons ont peri .	many fish died .
qui est ce qui a telephone ?	who phoned ?
je me suis sentie ignoree .	i felt snubbed .
fichez moi la paix .	give me a break .
je te respecte .	i respect you .
cool raoul !	relax .
tom m a vire .	tom fired me .
il est si tot .	it s so early .
penses tu la meme chose ?	do you think so ?
je suis chez moi .	i m home .
faites moi juste confiance !	just trust me .
etes vous droguee ?	are you on dope ?
ne me tentez pas !	don t tempt me .
nous y etions .	we were there .
tu peux aider .	you can help .
es tu jalouse ?	are you envious ?
je prefere le velo .	i prefer biking .
j ai un jumeau .	i m a twin .
allons danser .	let s go dancing .
j aime vos cheveux .	i like your hair .
jusqu a quel point es tu bonne ?	how good are you ?
c est rare .	this is rare .
c est cher .	it s expensive .
tom a ete mordu .	tom got bit .
j ai une requete .	i have a request .
j ai ete elu .	i got elected .
je me sens drole .	i feel funny .
j ai adore le francais .	i loved french .
j ai seche .	i cut class .
